title_query,seasons_count,trailer,opening_video
Friends,10,https://www.youtube.com/watch?v=bvEnlf9g4co,https://www.youtube.com/watch?v=YKYL_zcSfzc
Dexter,8,https://www.youtube.com/watch?v=-u2Xgcd3lq8,https://www.youtube.com/watch?v=QhGMGjs3DSs
Game of Thrones,6,https://www.youtube.com/watch?v=XfAE3hIaPm4,https://www.youtube.com/watch?v=s7L2PVdrb_8
Heroes,4,https://www.youtube.com/watch?v=9AX6aXFdTkc,https://www.youtube.com/watch?v=YYI9tK3o2YY
Twin Peaks,2,https://www.youtube.com/watch?v=Skcf0afMRR8,https://www.youtube.com/watch?v=i7d0Lm_31BE
Breaking Bad,5,https://www.youtube.com/watch?v=HhesaQXLuRY,https://www.youtube.com/watch?v=a02i_Ik4GGM
Utopia,2,https://www.youtube.com/watch?v=CBN0XTVfn0E,https://www.youtube.com/watch?v=01VGtX9xfh0
The Wire,5,https://www.youtube.com/watch?v=apZQlqPp6Hs,https://www.youtube.com/watch?v=kcB3yQTvJkk
The big bang theory,10,https://www.youtube.com/watch?v=WBb3fojgW0Q,https://www.youtube.com/watch?v=X41bA4l-h0w
House of Cards,4,https://www.youtube.com/watch?v=ULwUzF1q5w4,https://www.youtube.com/watch?v=wTJ8ndXFnjQ
